,Unnamed: 0,id,host_name,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_listings_count,host_verifications,host_has_profile_pic,host_identity_verified,neighbourhood,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,price_mxn
0,0,290701,David,"Amsterdam, Netherlands",within an hour,100.0,99%,t,De Wallen,2,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,52.37561,4.9,Private room in home,Private room,2,1.0,1.0,1.0,"[""First aid kit"", ""Shower gel"", ""Carbon monoxide alarm"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Dining table"", ""One small fridge  refrigerator"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""Smoke alarm"", ""Shampoo"", ""Waterfront"", ""Wine glasses"", ""Coffee"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Dishes and silverware"", ""Canal view"", ""Hair dryer"", ""Bed linens"", ""Host greets you"", ""Luggage dropoff allowed"", ""TV with standard cable"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Safe"", ""Private entrance"", ""Room-darkening shades"", ""Heating"", ""Hot water kettle""]",134.0,3,365,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,4,11,16,207,475,38,3,2012-02-20,2024-12-03,t,2,0,2,0,3.05,2412.0
24,24,91535,Michiel,"Amsterdam, Netherlands",within an hour,100.0,100%,t,De Pijp,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",De Pijp - Rivierenbuurt,52.35774,4.89647,Private room in boat,Private room,2,1.0,1.0,1.0,"[""First aid kit"", ""Paid parking off premises"", ""Keypad"", ""Carbon monoxide alarm"", ""Hangers"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Laundromat nearby"", ""Essentials"", ""Portable fans"", ""Smoke alarm"", ""Waterfront"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Fast wifi \u2013 209 Mbps"", ""Self check-in"", ""Canal view"", ""Hair dryer"", ""Coffee maker"", ""Bathtub"", ""Bed linens"", ""Central air conditioning"", ""TV with standard cable"", ""Hot water"", ""Room-darkening shades"", ""Heating"", ""Single level home""]",160.0,1,30,1.0,1.0,1125.0,1125.0,1.0,1125.0,t,18,48,78,121,263,78,3,2011-07-26,2024-12-01,t,1,0,1,0,1.62,2880.0
33,33,189754,Marijn,"Amsterdam, Netherlands",within an hour,100.0,100%,t,Amsterdam Centrum,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,52.37548,4.89398,Entire loft,Entire home/apt,4,1.0,1.0,3.0,"[""First aid kit"", ""Mosquito net"", ""Toaster"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Shower gel"", ""Children\u2019s dinnerware"", ""Crib"", ""Paid parking off premises"", ""Private patio or balcony"", ""Body soap"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Outdoor furniture"", ""Dedicated workspace"", ""Hangers"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Lockbox"", ""Board games"", ""Outdoor dining area"", ""Single level home"", ""Coffee maker: Keurig coffee machine, Nespresso"", ""BBQ grill"", ""Ethernet connection"", ""Dining table"", ""Iron"", ""Conditioner"", ""Essentials"", ""Baby bath"", ""Long term stays allowed"", ""Fast wifi \u2013 234 Mbps"", ""Shampoo"", ""High chair"", ""Portable fans"", ""Smoke alarm"", ""Wine glasses"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, 5-10 years old, and 10+ years old"", ""Clothing storage: closet"", ""Coffee"", ""Window guards"", ""Pocket wifi"", ""Fire extinguisher"", ""Pets allowed"", ""Garden view"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Bed linens"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Hot water"", ""Baby safety gates"", ""Private entrance"", ""Room-darkening shades"", ""Heating"", ""Fire pit"", ""Cleaning products"", ""Hot water kettle""]",262.0,2,1125,2.0,2.0,1125.0,1125.0,2.0,1125.0,t,9,32,56,205,386,50,2,2011-09-17,2024-11-17,t,1,1,0,0,2.4,4716.0
35,35,193038,Johan,"Amsterdam, Netherlands",within an hour,100.0,100%,t,Grachtengordel,1,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-Oost,52.36057,4.89671,Private room in loft,Private room,2,1.0,1.0,1.0,"[""First aid kit"", ""Freezer"", ""Mosquito net"", ""Shower gel"", ""Paid parking off premises"", ""Body soap"", ""Stainless steel oven"", ""Clothing storage"", ""Carbon monoxide alarm"", ""Hangers"", ""Private living room"", ""Exterior security cameras on property"", ""Laundromat nearby"", ""Microwave"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm"", ""Shampoo"", ""Wine glasses"", ""Coffee"", ""Small refrigerator"", ""Fire extinguisher"", ""Dishes and silverware"", ""Hair dryer"", ""Coffee maker"", ""Bed linens"", ""Host greets you"", ""Mini fridge"", ""TV with standard cable"", ""Luggage dropoff allowed"", ""Hot water"", ""Private entrance"", ""Heating"", ""Fast wifi \u2013 92 Mbps"", ""Hot water kettle""]",140.0,3,31,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,2,32,56,72,713,28,0,2011-09-12,2024-09-23,t,1,0,1,0,4.42,2520.0
40,40,245927,Wytse,"Amsterdam, Netherlands",within an hour,100.0,100%,,Grachtengordel,5,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,52.36943,4.88787,Entire guest suite,Entire home/apt,4,1.5,2.0,3.0,"[""First aid kit"", ""Marie-Stella-Maris body soap"", ""Toaster"", ""Drying rack for clothing"", ""Shower gel"", ""Paid parking off premises"", ""46 inch HDTV with standard cable"", ""Crib"", ""Dishwasher"", ""Oven"", ""Marie-Stella-Maris conditioner"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""Cleaning available during stay"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Marie-Stella-Maris shampoo"", ""Microwave"", ""Ethernet connection"", ""Dining table"", ""Iron"", ""Essentials"", ""Clothing storage: closet, wardrobe, and dresser"", ""High chair"", ""Portable fans"", ""Smoke alarm"", ""Waterfront"", ""Fast wifi \u2013 644 Mbps"", ""Babysitter recommendations"", ""Wine glasses"", ""Children\u2019s books and toys for ages 0-2 years old, 2-5 years old, and 5-10 years old"", ""Coffee"", ""City skyline view"", ""Fire extinguisher"", ""Dishes and silverware"", ""Canal view"", ""Hair dryer"", ""Cooking basics"", ""Coffee maker"", ""Bathtub"", ""Bed linens"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Host greets you"", ""Books and reading material"", ""Hot water"", ""Safe"", ""Pack \u2019n play/Travel crib"", ""Private entrance"", ""Room-darkening shades"", ""Heating"", ""Cleaning products"", ""Hot water kettle""]",381.0,2,180,2.0,6.0,180.0,180.0,2.9,180.0,t,9,24,47,289,243,41,4,2012-04-29,2024-12-02,t,1,1,0,0,1.58,6858.0
49,49,286500,David,"Amsterdam, Netherlands",within an hour,100.0,99%,t,De Wallen,2,"['email', 'phone']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,52.37561,4.9,Private room in rental unit,Private room,2,1.0,1.0,1.0,"[""First aid kit"", ""Shower gel"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""53 inch TV with standard cable"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Ethernet connection"", ""Dining table"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm"", ""Shampoo"", ""Waterfront"", ""Wine glasses"", ""Coffee"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Dishes and silverware"", ""Canal view"", ""Hair dryer"", ""Bed linens"", ""Host greets you"", ""Central air conditioning"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Safe"", ""Private entrance"", ""Room-darkening shades"", ""Heating"", ""Hot water kettle""]",142.0,3,365,1.0,3.0,1125.0,1125.0,3.0,1125.0,t,4,5,9,171,392,26,4,2012-02-01,2024-11-27,t,2,0,2,0,2.51,2556.0
50,50,327285,Ester,"Amsterdam, Netherlands",within an hour,100.0,100%,t,De Pijp,2,['phone'],t,t,"Amsterdam, North Holland, Netherlands",De Pijp - Rivierenbuurt,52.35625,4.89323,Private room in home,Private room,4,1.5,1.0,6.0,"[""First aid kit"", ""Freezer"", ""Toaster"", ""Drying rack for clothing"", ""Private backyard \u2013 Fully fenced"", ""Courtyard view"", ""Children\u2019s dinnerware"", ""Crib"", ""Clothing storage: closet and wardrobe"", ""Dishwasher"", ""Paid parking off premises"", ""Body soap"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Outdoor furniture"", ""Dedicated workspace"", ""Hangers"", ""Andrelon conditioner"", ""Private living room"", ""Coffee maker: Nespresso"", ""Bikes"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Lockbox"", ""Board games"", ""Outdoor dining area"", ""Single level home"", ""TV with Apple TV, Netflix, standard cable"", ""BBQ grill"", ""Dining table"", ""Iron"", ""Essentials"", ""Baby bath"", ""Blender"", ""Shared patio or balcony"", ""Shampoo"", ""High chair"", ""Portable fans"", ""Smoke alarm"", ""Breakfast"", ""Free washer \u2013 In unit"", ""Wine glasses"", ""Coffee"", ""Changing table"", ""Children\u2019s books and toys"", ""Fire extinguisher"", ""Free dryer \u2013 In building"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Bathtub"", ""Bed linens"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Wifi"", ""Hot water"", ""Baby safety gates"", ""Pack \u2019n play/Travel crib"", ""Private entrance"", ""Heating"", ""Cleaning products"", ""Hot water kettle""]",236.0,3,30,1.0,7.0,30.0,30.0,4.0,30.0,t,8,23,43,180,707,81,7,2012-03-12,2024-11-30,t,1,0,1,0,4.56,4248.0
52,52,343094,Rob & Fang,"Amsterdam, Netherlands",within an hour,100.0,100%,t,Oosterparkbuurt,1,"['email', 'phone']",t,t,"Watergraafsmeer, North Holland, Netherlands",Oud-Oost,52.35715,4.90926,Private room in townhouse,Private room,2,1.0,1.0,1.0,"[""Refrigerator"", ""Hangers"", ""Lockbox"", ""Microwave"", ""Iron"", ""Essentials"", ""Long term stays allowed"", ""Smoke alarm"", ""Shampoo"", ""Fire extinguisher"", ""Dishes and silverware"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Lock on bedroom door"", ""Luggage dropoff allowed"", ""Wifi"", ""Hot water"", ""Heating""]",94.0,5,30,3.0,5.0,1125.0,1125.0,4.9,1125.0,t,7,34,64,203,558,51,1,2012-05-02,2024-11-18,t,1,0,1,0,3.64,1692.0
57,57,379885,Masha,"Amsterdam, Netherlands",,,100%,f,,1,"['email', 'phone', 'work_email']",t,t,"Watergraafsmeer, North Holland, Netherlands",De Pijp - Rivierenbuurt,52.35464776933696,4.906100814228655,Private room in houseboat,Private room,2,1.0,1.0,1.0,"[""Paid parking off premises"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Hangers"", ""Lockbox"", ""Stove"", ""Iron"", ""Essentials"", ""Smoke alarm"", ""Shampoo"", ""Dishes and silverware"", ""Kitchen"", ""Self check-in"", ""Hair dryer"", ""Coffee maker"", ""Cooking basics"", ""Bed linens"", ""Wifi"", ""Hot water"", ""Private entrance"", ""Heating""]",155.0,3,360,3.0,3.0,1125.0,1125.0,3.0,1125.0,t,8,30,53,268,94,0,0,2012-05-20,2023-10-29,t,1,0,1,0,0.62,2790.0
106,106,654931,Matthijs,"Amsterdam, Netherlands",within an hour,100.0,100%,t,De Wallen,3,"['email', 'phone', 'work_email']",t,t,"Amsterdam, North Holland, Netherlands",Centrum-West,52.37167,4.8948,Room in bed and breakfast,Hotel room,2,1.0,1.0,1.0,"[""First aid kit"", ""Mosquito net"", ""Central heating"", ""Shower gel"", ""Paid parking off premises"", ""Body soap"", ""Carbon monoxide alarm"", ""Refrigerator"", ""Dedicated workspace"", ""Hangers"", ""Cleaning available during stay"", ""Exterior security cameras on property"", ""Bikes"", ""Extra pillows and blankets"", ""Laundromat nearby"", ""Wifi \u2013 33 Mbps"", ""Iron"", ""Conditioner"", ""Essentials"", ""Long term stays allowed"", ""Portable fans"", ""Shampoo"", ""Smoke alarm"", ""Breakfast"", ""Wine glasses"", ""Coffee"", ""Clothing storage: closet"", ""Fire extinguisher"", ""Free dryer \u2013 In building"", ""Portable air conditioning"", ""Dishes and silverware"", ""Hair dryer"", ""Coffee maker"", ""Bed linens"", ""Host greets you"", ""Mini fridge"", ""Luggage dropoff allowed"", ""Books and reading material"", ""Hot water"", ""Free washer \u2013 In building"", ""Room-darkening shades"", ""Hot water kettle""]",129.0,1,1125,1.0,2.0,1125.0,1125.0,2.0,1125.0,t,9,36,61,218,974,87,5,2012-09-14,2024-11-20,t,2,0,0,0,6.54,2322.0
